EmployeeID,ManagerID,Title,BirthDate,ContactID,Employee_Names
1,16,Production Technician ,5/15/1972,1209,Guy R Gilbert
2,6,Marketing Assistant,6/3/1977,1030,Kevin F Brown
3,12,Engineering Manager,12/13/1964,1002,Roberto  Tamburello
4,3,Senior Tool Designer,1/23/1965,1290,Rob  Walters
5,263,Tool Designer,8/29/1949,1009,Thierry B D'Hers
6,109,Marketing Manager,4/19/1965,1028,David M Bradley
7,21,Production Supervisor ,2/16/1946,1070,JoLynn M Dobney
8,185,Production Technician ,7/6/1946,1071,Ruth Ann Ellerbrock
9,3,Design Engineer,10/29/1942,1005,Gail A Erickson
10,185,Production Technician ,4/27/1946,1076,Barry K Johnson
11,3,Design Engineer,4/11/1949,1006,Jossef H Goldberg
12,109,Vice President of Engineering,9/1/1961,1001,Terri Lee Duffy
13,185,Production Technician ,10/1/1946,1072,Sidney M Higa
14,21,Production Supervisor ,5/3/1946,1067,Taylor R Maxwell
15,185,Production Technician ,8/12/1946,1073,Jeffrey L Ford
16,21,Production Supervisor ,11/9/1946,1068,Jo A Brown
17,185,Production Technician ,5/6/1946,1074,Doris M Hartwig
18,21,Production Supervisor ,9/8/1946,1069,John T Campbell
19,185,Production Technician ,4/30/1946,1075,Diane R Glimp
20,173,Production Technician ,6/15/1967,1129,Steven T Selikoff
21,148,Production Control Manager,12/4/1972,1231,Peter J Krebs
22,197,Production Technician ,10/14/1952,1172,Stuart V Munson
23,197,Production Technician ,11/18/1960,1173,Greg F Alderson
24,184,Production Technician ,12/3/1969,1113,David N Johnson
25,21,Production Supervisor ,11/26/1973,1054,Zheng W Mu
26,108,Production Technician ,2/4/1972,1097,Ivo William Salmre
27,87,Production Technician ,12/15/1970,1156,Paul B Komosinski
28,150,Network Administrator,4/28/1967,1258,Ashvini R Sharma
29,14,Production Technician ,6/30/1976,1199,Kendall C Keil
30,140,Human Resources Manager,3/14/1966,1242,Paula M Barreto de Mattos
31,210,Production Technician ,1/6/1979,1140,Alejandro E McGuel
32,184,Production Technician ,9/26/1974,1122,Garrett R Young
33,135,Production Technician ,8/27/1973,1124,Jian Shuo  Wang
34,85,Stocker,3/20/1968,1285,Susan W Eaton
35,85,Shipping and Receiving Clerk,4/19/1967,1283,Vamsi N Kuppa
36,38,Production Technician ,2/27/1968,1183,Alice O Ciccu
37,7,Production Technician ,6/17/1980,1226,Simon D Rapier
